"Article_Heading","Article_Data","Article_selection1","Article_selection1_url"
"6 вещей, которые запрещены в Европе, а мы делаем и радуемся","2 дня назад","Естественно, даже у самых неожиданных запретов есть свои обоснования, которые авторам запретов кажутся очень логичными. Как говорится, хотели как лучше, а получилось как получилось.",""
"Цена iPhone 15 Pro Max в России упала ниже некуда. Он стоит супер-выгодно даже с пошлиной","Вчера","снова подешевела.","https://dzen.ru/away?to=https%3A%2F%2Fappleinsider.ru%2Fiphone%2Fkak-izmenilis-ceny-na-iphone-v-rossii-posle-vvedeniya-importnoj-poshliny.html"
"Зачем «автомату» нужен режим N и когда его нельзя использовать","10 мая",". Поэтому правильнее говорить о машинах с автоматизированными трансмиссиями, когда в полу смонтировано не три, а две педали. Во всех случаях на площадке селектора представлен режим N (Neutral). Как правило, это обозначение «вписано» между положениями D (Drive) и R (Reverse).","https://dzen.ru/away?to=https%3A%2F%2Fauto.mail.ru%2Farticle%2F86796-problemyi-s-dsg-kak-pravilno-ezdit-na-robote%2F"
"Мокрое платье, песок и виноград: 10 лучших нарядов Met Gala 2024","7 мая","Тема Met Gala 2024 — «Сад времени». Она вдохновлена рассказом Дж. Г. Балларда 1962 года о графе, который, чтобы спастись от разъяренной толпы, приближающейся к его замку, срезал в своем саду розу, чтобы замедлить время. Он срезал цветы до тех пор, пока не осталось ни одного. Учитывая акцент выставки, многие ожидали, что красная дорожка будет наполнена цветами, Спящими Красавицами и технологичными нарядами.",""
"Как проходят похороны у цыган","4 мая","Цыгане – один из самых многочисленных народов без собственной страны.",""
"Как живут в коммуналке в центре Петербурга (где комната стоит 4 миллиона)","14 февраля","Когда я переехал в Россию, я быстро узнал, что такое “коммунальная квартира”. Мы с женой какое-то время жили в такой квартире в Москве. Эта была квартира в сталинке недалеко от центра. Ремонт пора было делать, но сама квартира мне очень понравилась. Высокие потолки и деревянные полы, которые, мне кажется, лежали там с времён Сталина.",""
"На спутниковой карте Приполярного Урала исследователи обнаружили гору с пирамидальной формой","10 мая","форма горы на Урале с Египетскими пирамидами расположенными на плато Гизы:",""
"Какое озеро самое большое в мире? 10 крупнейших водоёмов","20 марта","В этой статье вы узнаете: площадь самого большого озера Земли, где расположено самое старое из всех, а главное — где находятся 10 крупнейших озёр мира.",""
"Поймай меня, если сможешь. Как звери сбегают из зоопарков","8 мая","Почему-то именно пингвины сбегают из зоопарков чаще всего. Может быть, потому что от неуклюжих с виду птиц никто не ожидает такой сообразительности и тяги к свободе. Так, в 60-е годы из Московского зоопарка сбежал не один, а целая ватага пингвинов. Их подарили городу китобои, и для птиц смотрители не успели подготовить прочный вольер по всем правилам. Пингвины воспользовались этим и ночью сбежали толпой не только из своего жилища, но и из зоопарка. Дело было в предрассветный час, поэтому животных никто не остановил, когда они вразвалку (а по-другому пингвины не умеют) шествовали по улицам, наверное, в сторону Антарктиды. Задержали их на ступеньках Краснопресненского универмага — а это два километра от зоопарка.",""
"Сколько стоит невеста на Кавказе?","18 апреля","Не всегда мужчина мог себе позволить сразу взять в жёны девушку, к которой он испытывал чувства, в силу своего экономического положения. Прежде всего нужно было выплатить калым (выкуп невесты или осет. «ираед») родителям девушки, чтобы вступить в супружество. Поэтому ему приходилось усердно работать или уезжать на заработки, в связи с этим женитьба откладывалась на значительный срок.",""
"Как появился обычай красить яйца на Пасху?","1 мая","Еще в Древнем Египте существовала традиция обмениваться окрашенными яйцами в дни разлива Нила. Также в качестве дара богам яйцами украшали святыни и храмы. Похожие обычаи можно встретить у греков, персов и римлян. Тогда люди верили, что яйцо имеет сакральный смысл, поэтому к нему относились как к символу рождения новой жизни (в египетской мифологии Бенну (аналог феникса), которого считали духом бога Ра, сжигает свое гнездо, чтобы возродиться из яйца).",""
"Для чего незнакомцы прозванивают наши номера и сбрасывают","29 января","Вообще, немые звонки бывают двух типов — когда вы можете взять трубку и тогда, когда не успеваете и никогда не сможете ответить на такой звонок. Разберем оба варианта.",""
"«История любви». Одна из величайших песен XX века была написана французом для американского фильма и спета Муслимом Магомаевым","30 марта",", снятая по одноимённому роману профессора Йельского университета Эрика Сигала. Экранный сюжет о романтических отношениях молодого человека из богатой семьи и девушки из рабочего класса, который оборвалась трагически, ожидал грандиозный успех.",""
"Простой, но неловкий вопрос: Как различить китайца, корейца и японца между собой?","21 января","",""
"«Я разогнулся посмотреть не разогнулась ли она» — Смешные переписки про дачу и огород","6 мая","Приятного чтения и отличного настроения!",""
"10 обычных для Венгрии вещей, которые кажутся нам странными","22 апреля","И сегодня речь пойдет о Венгрии, небольшой, но при этом весьма самобытной восточноевропейской стране, которая к тому же в последние годы внезапно стала нашим главным союзником во всей Европе. Венгрия – уже 25-я страна, которой посвящена отдельная статья в данном блоге, но почему-то именно она оказалась наиболее непростой для описания и выделения десяти необычных особенностей. Несмотря на отсутствие общей с Россией границы, разницу в этнокультурном, географическом и других аспектах, именно Венгрия оказалась на удивление похожа на нашу страну. Но, разумеется, не обошлось и без любопытных особенностей, которым и будет посвящена сегодняшняя статья, пусть даже большинство из них назвать странными можно разве что с натяжкой. Итак, добро пожаловать в страну «Икарусов» и кубиков Рубика, гуляша и паприкаша, Ференца Листа и Ференца Пушкаша, богатой истории и уникальной культуры – Венгрию.",""
"Таймень - почему хищника называют речной тигр?","3 мая","заповедника, охотившиеся хотя бы раз в жизни на этого речного «зверя», не смогут забыть то, каким увлекательным было это путешествие. Вдалеке от большой земли целая неделя отдыха пролетает как пара дней. Еще бы, ведь там не только рыбная ловля с трофейными уловами благородных лососей. Там тишь, гладь, Божья благодать, где местами никогда не ступала нога человека.","https://dzen.ru/away?to=https%3A%2F%2F%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9%D0%BE%D1%82%D0%B4%D1%8B%D1%85.%D1%80%D1%84%2F%23tur"
"🐀🤡«Крысы и клоуны»: как омская элита поддержала жителей затопленных районов","Сегодня","А вот новых данных по количество затопленных домов, пока не поступало.",""
"Новый взгляд на старую SEGA","19 января","",""
"Как нейросети вдохновляют авторов Дзена? Объявляем итоги конкурса","Сегодня","Авторы получат наборы нейромерча: эксклюзивные футболки, панамы и сумки-шоперы.",""
"Пообедала в доме у местных на Кубе, и это оказался самый дорогой обед","5 декабря 2023","Дом совсем не выделяется среди других в небольшом посёлке, похожем на наши деревушки. Однообразные маленькие домики с деревянными ставнями вместо стёкол, верёвки с бельем и изгороди из кактусов — типичная картина для Кубы.",""
"Вершина Великой пирамиды Хеопса, снимки детального вида сверху","3 мая","Представленный вид на пирамиду Хеопса с непривычного ракурса был сделан фотографом Александром Ладанивским при помощи квадрокоптера. На снимках с близкого расстояния, почти что в плотную, можно до мельчайших деталей рассмотреть её вершину.",""
