"selection1_name","selection1_Text_name","selection1_Heading","selection1_Data"
"","— И больше не смейте сюда входить! — доносился эхом по каменным коридорам дворца голос Филиппа II Августа, французского короля.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Слуги переглянулись и осторожно выглянули из-за угла. Около порога в королевскую опочивальню стояла растерянные Ингеборга Датская, их новая королева Франции. Хрупкая, женственная и красивая. Съежившись от стыда и заливаясь слезами Ингеборга взяла в руки простыню, в которую укуталась наспех, удалившись в свои покои.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Жители замка были в растерянности. Зайти ли к королю или это плохая идея? Неужели молодожены поругались на утро после первой брачной ночи? Всем было любопытно. Любопытно и нам.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Филипп II Август родился в 1165 году. А в 1179 году уже важно занимал французский трон. С раннего возраста он показал мощь королевской власти, захватив большую часть земель, включив их в состав королевства и первым именовался как король Франции, а не как король франков.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Филипп был серьезен и суров. В отличие от своих последователей, изнеженных Версальский королей, у Филиппа была жесткая рука и холодное сердце. Манеры и этикет тогда ещё не просочились в повседневную жизнь королевских особ.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Его первый брак с Изабеллой Эно был несчастлив. Король желал наследника, ему дела не было до жены и любви. И Изабелла долгое время не могла родить ребенка. Лишь в 1187 году она родила будущего короля Людовика VIII, а спустя три года скончалась при рождении двух мальчиков. Филипп не горевал. И быстро согласился на второй брак. Детская смертность могла в миг унести жизнь его единственного наследника.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Филипп женился на Ингеборге Датской. Принцессе было 19 лет. Отмечали, что она была хорошо собой, с молочной белой кожей, светлыми длинными волосами и славилась покладистым нравом. К тому же Филипп желал сблизиться с Данией.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Французские послы сперва уехали уладить все вопросы с приданым и брачным контрактом. К тому же следует отметить, что невест для королей часто осматривали на предмет невинности и физических увечий. Так как главной целью королевы было рождение потомства.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Принцесса Датская принесла Франции огромное приданное в виде 10 тысяч серебряных марок. Она прибыла во Францию в окружении благородных дам, одетая в наряд из серебряной парчи.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Король встречал невесту в доспехах и шлеме на коне, словно настоящий рыцарь. Конечно, ему хотелось произвести впечатление на молодую жену.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Филипп II видел невесту до официального торжества. И не был смущен её внешностью. Напротив, на следующий день на фоне всеобщей эйфории Филипп распорядился, чтобы после бракосочетания состоялась коронация Ингеборги. А после состоялась брачная ночь.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Консуммация брака была делом государственной важности, после которой Ингеборга стала официальной женой и французской королевой. Но на следующее утро грозный король выставил свою жену из покоев. Бледный и злой он приказал датским послам, чтобы они забрали Ингеборгу в Данию, а брак аннулировали.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Что же пошло не так? Не понравилась сама ночь или Ингеборга чем-то провинилась? Давайте подумаем, что у королевы вряд ли были бы физические увечья. Это заметили бы при медосмотре или в первые минуты, как только она предстала нагишом перед королем.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Есть предположение, которое с перевода с французского объясняет, что королева колдовскими силами привела Филиппа в мужское бессилие. В результате этого король обвинил жену в преступлении и колдовстве. А может просто перебрал с вином и не смог исполнить мужские обязанности?","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Может, злость была лишь его защитой. Как бы то ни было, Ингеборга плохо владела французским языком. Кое как она объяснила, что не согласна с королем по поводу расторжения брака.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","— Для меня развод это грех, — заявила Ингеборга Римскому Папе Целестину III.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Филипп заявил, что Ингеборга дальняя родственница его первой жены, оттого просит аннулировать брак. Ингеборгу Датскую поместили в аббатство Сент-Каликст, пока Филипп расторгал брак и искал новую жену.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Европейские принцы и короли в основном встали на сторону несчастной Ингеборги. Они пытались поскорее выдать замуж незамужних дочерей, чтобы им не пришлось выходить замуж за грубого Филиппа II. Никому не хотелось участи Ингеборги. Несчастная, невиновная молодая девушка прозябала в монастыре.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","В 1196 году король нашел невесту. Сестра герцога Меранского была согласна стать женой Филиппа II, несмотря на его семейный скандал.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Пока Ингеборга была заперта в крепости Этамп, в Эссонне, прекрасная Агнесса Меранская вышла замуж за Филиппа. На этот раз никаких проблем на брачном ложе не возникло.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Кнут VI был недоволен суровым обращением с его сестрой. Он даже подумывал об объявлении войны Франции. К тому же Папа Римский не признавал расторжение брака между Филиппом и Ингеборгой, после того, как королева Франции лично попросила заступничества Целестина III. И аннулирование брака отменили. Филиппа обвинили в двоеженстве, а Агнесса стала незаконной королевой.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Агнесса умерла при родах. Наконец, в 1214 году Филипп вернул Ингеборгу к королевскому двору, благодаря ходатайству Папы Римского.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","— Я — законная королева Франции и мой брак был завершен и также законен. — твердо настаивала Ингеборга.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Она не сдалась и не смирилась со своей участью. У неё была гордость и сила воли. К тому же она была совершенно уверена, что ни в чем не провинилась перед королем Франции!","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Когда король умер в 1223 году, Ингеборга была рядом с ним. В своем завещании свыкшийся Филипп даже назвал Ингеборгу «любимой женой». Мерзавец украл 20 лет её жизни.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Она умерла в 1236 году. Ингеборга запоминалась на страницах истории как одна из сильнейших женщин средневековья.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Мы можем лишь догадываться что произошло между супругами в первую брачную ночь. Филипп II предпочел скрыть подробности происходящего в ту ночь, лишь заявил, что при близком общении Ингеборга ему «не очень-то и понравилась», оттого король стал «бессилен».","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Ставьте класс и подписывайтесь на мой канал! Спасибо.","«Пойди прочь»: на утро после первой брачной ночи прогнал жену из спальни","23 января"
"","Бренд Studio 29 показал новый летний лукбук, героиня которого приехала в отпуск, отключила телефон, чтобы полностью погрузиться в отдых. Компанию в приключении ей составляют махровые костюмы, состоящие из футболки и шортов, для пляжа, кружевные юбки и рубашки для вечернего променада, а также укороченная юбка-баллон и летящие платья для возможных свиданий.","Бренд Studio 29 показал новый летний лукбук","Вчера"
"","В этом сезоне бренд пополняет ассортиментную матрицу новыми позициями — в капсуле представлены слитные и раздельные купальники, а также пляжные полотенца (в продаже до конца недели). Марка также продолжает сотрудничество в мастерской по переработке пластика полного цикла Recycle Object и дополняет летний дроп актуальным аксессуаром — гребнем для волос, который можно носить как подвеску, обвес на сумке или использовать по назначению.","Бренд Studio 29 показал новый летний лукбук","Вчера"
"","Ранее Studio 29 и студия маникюра Devichnik представили лимитированную серию дизайнов, вдохновленных весенней коллекцией марки. Она получила название «Love your garden» и посвящена незабудке. Подробнее мы рассказывали здесь.","Бренд Studio 29 показал новый летний лукбук","Вчера"
"","Случается, что вы попали в неприятную ситуацию из-за того, что оказались не в том месте и не в то время. И совершенно незнакомый человек срывает на вас все накопившиеся эмоции. Или человек намерено хочет вас задеть.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","У вас два варианта реакции: поддаться на провокацию и подкинуть топлива в этот огонь конфликта. Или сохранить достоинство и лицо.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Хамство должно остановиться на вас, ведь прекращает агрессию тот, кто лучше всего воспитан. Предлагаю рассмотреть несколько ситуаций с точки зрения этики. Как правильно, а главное красиво реагировать на хамство.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","1. Поблагодарите.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Спасибо всегда смягчает и обескураживает, особенно, если на вас идёт наступление. Пример комплимента с неприятной оценкой может выглядеть так:","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","- У тебя новая причёска? Выглядит странно, со старой было лучше.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Тут непонятно, с какой целью человек высказался в ваш адрес, поэтому предлагаю 2 варианта ответа:","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","- Спасибо, я подумаю над твоими словами.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","- Спасибо за честность, я получила много комплиментов насчёт причёски, наверное, мне врали.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Такие слова обозначат, что вы услышали, но не взяли на свой счёт негатив.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","2. Игнорируйте.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Неприятные высказывания или личные сообщения, оставленные без внимания, теряют свою силу. Если вы не реагируете, то и задевать вас не интересно. Когда к высказыванию относятся как к чему-то, не заслуживающему вашего внимания, это сильно бьёт по самооценке провокатора.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","3. Повторите вопрос.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Если вы вернёте слова оппоненту через вопрос, то таким образом его намерения останутся неприкрытыми.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","- Я правильно понимаю, ты считаешь мою причёску странной? Или ты удивлена, потому что обычно консервативна в своем выборе?","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","4. Самоирония.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","Это признак высокого интеллекта. Не каждый может посмеяться над собой, и это, безусловно, сильная позиция.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","-Да, ты права, устала быть во всём идеальной, поэтому сегодня утром, придя в салон, попросила мастера сделать что-нибудь странное с моими волосами!","Как красиво ответить, если вам хамят в лицо?","5 февраля"
"","5. Обескураживающий комплимент с утрированием.","Как красиво ответить, если вам хамят в лицо?","5 февраля"
